@lat	@lon	name	ele
34.4900596	136.5669741	城山	128
34.5082518	136.4737621	大明神山	399
34.5465528	136.4328519	堀坂山	757
34.5617732	136.4399262	観音岳	605
34.5790864	136.4502865	鉢ヶ峰	420
34.5937496	136.4544308	桝形山	312
34.5739659	136.3700523	矢頭山	730
34.5501388	136.3606535	髯山	687
34.5327269	136.3267418	雨乞山	698
34.5075170	136.3480160	高須ノ峰	797
34.7665402	136.3744264	経が峰	819
34.7789828	136.3826056	稲子山	574
34.7928535	136.3957000	摺鉢山	464
34.7730816	136.2576773	西教山	681
34.8171853	136.2604567	霊山	765
34.8742603	136.2771045	油日岳	693
34.8758199	136.2979036	那須ヶ原山	799
34.8708119	136.3843026	羽黒山	290
34.8740038	136.3689939	筆捨山	285
34.8873226	136.3887989	明星ヶ岳	549
34.8948036	136.4037554	雨引山	413
34.8897764	136.3207896	高畑山	773
34.9518420	136.3953960	仙ヶ岳	961
34.9738905	136.4338116	入道ヶ岳	905
34.9881595	136.4159915	宮超山	1029
34.9991193	136.4487932	雲母峰	888
35.0885790	136.4711627	福王山	598
35.1785140	136.4147066	御池岳	1247
35.1900428	136.3994440	鈴ヶ岳	1130
35.2172126	136.4154951	三国岳	894
34.8989908	136.3500917	三子山	568
34.4604080	136.4199810	鳥岳	545
34.9028659	136.3595207	四方草山	667.0
34.8799986	136.3726778	花ノ木	338.8
34.8591948	136.3833189	観音山	224.0
34.4849654	136.5124490	城山	291
34.5153259	136.6524200	大仏山	53
34.5438798	135.6486081	寺山	293.6
35.2201740	136.3535087	高室山	818
35.2456315	136.3593904	鍋尻山	838
34.5048630	135.8617657	鳥見山	245
34.1220503	135.2387153	鏡石山	555
34.3420469	135.7735464	栃原岳	531
34.2847282	135.7893981	櫃ヶ岳	781
34.3124874	135.7567590	銀峯山	614
34.6210498	135.8383556		133
34.6444495	135.8496620		161.9
34.2242017	135.2207515	大日山	136
34.2149480	135.9826365	和佐又山	1344.2
34.4690088	135.7823267	貝吹山	209.9
34.6196841	136.0623562	茶臼山	535.4
34.8132898	135.5238054	三角山	
34.7795524	135.4940900	いなり山	
34.0607893	135.1422719	北山	178.6
34.0630487	135.1637657	平見山	247.9
34.8074112	135.4507602	待兼山	77
33.9962006	135.1643305	明神山	377
33.9894144	135.1437692	雨司山	347.4
34.0102038	135.2114017	地蔵峰	411.6
34.0921004	135.2062164	千葉山	541.6
34.1024240	135.2240159	高坪山	544.9
34.1296669	135.2286950	飯盛山	445
34.1327647	135.2366423	熊尾寺山	543
34.0929105	135.2339615	鷲ヶ峰	586.2
34.0821620	135.1900472	岩室山	274
34.0631575	135.1826182	雲雀山	201
34.0268466	135.1645041	天皇山	90
34.1266131	135.2366608	鯛ノ峰	544
34.1422299	135.2441639	衣笠山	297.8
35.4624812	134.5054131	谷山	961.2
35.4683059	134.5069523	二連寺山	923
35.2549363	135.4205275	丸山	
33.6021104	135.3886196		
34.9186781	135.2680424	羽束山	524
34.2025494	135.1743606	打越山	
34.9044427	135.6671737	十方山	304.4
34.1801130	135.9093278	弥山	1895
35.1586307	136.4528078	藤原岳	1140
35.6333199	134.4621736	観音山	245
35.6269983	134.4372550	城山	170
34.5573881	136.2196541	尼ケ岳	957
34.3501406	136.2074943	迷岳	1309
34.0319942	136.1471808	高峰山	1045
33.7945534	135.9304690	子ノ泊山	907
35.2791228	136.3812183	霊仙山	1094
33.9828124	135.8983402	笠捨山	1353
34.4956226	135.8182521	天香久山	152.4
34.5257310	135.6775260	二上山	517
34.3740897	135.5509713	岩湧山	897
34.1522102	135.6545176	荒神岳	1260.1
35.2367108	134.4628072	三室山	1358
34.2822947	135.8527631	扇形山	1053.0
34.8079651	136.0780052	高旗山	709.8
33.8450834	135.9594544	大瀬山	626.9
34.2580598	135.6745429	七霞山	891.2
34.7481164	135.2796914	風吹岩	447
35.5089535	134.4269231	牛ヶ峰山	712.8
35.2260734	134.3934148	長義山	1105.4
35.1925424	134.3928957	鍋ヶ谷山	1253
35.1877260	134.4025487	船木山	1334
35.1725721	134.4363233	笛石山	894.5
35.1154516	134.4212001	船越山	726.9
35.1004390	134.3887799	壇の平	621.1
34.8025396	135.2293884	高丸山	508.5
34.7993162	135.2117315	キスラシ山	443
34.8020290	135.1924446	梶岡山	459
34.1894586	135.8893776	頂仙岳	1718
34.1342544	135.1399681	高通山	194.8
35.6383186	134.5924638	庵月山	344.6
35.0102572	135.3127919	大野山	753.5
34.0044068	135.9049478	行仙岳	1227
34.8050792	135.1818762	大蔵山	452
34.7921514	135.1763066	古倉山	476
34.7827579	135.1697512	金剛童子山	565
34.7919699	135.1660081	東鹿見山	553
34.7901334	135.1599227	西鹿見山	562
34.7820102	135.1550668	花折山	573
34.7743983	135.1595385	東ノ峰	516
34.8040533	135.1685066	金毘羅山	404
34.7892101	135.2409775	灰形山	619
34.7825876	135.2439884	湯槽谷山	801
34.7881525	135.2340941	鬼ヶ島	580
34.7818144	135.2370083	高尾山	739
34.7751117	135.2163428	古寺山	636
34.7593719	135.2122794	水晶山	710
34.7510106	135.1920679	石楠花山	652
34.7564329	135.1684770	丸山	410
34.7564958	135.1887081	双子山	616
34.7582622	135.1899330		
34.7902758	135.1897165	ナダレ尾山	527
34.7710042	135.2602427	西おたふく山	873
34.7690788	135.2730931	東おたふく山	697
34.7410650	135.2320238	天望山	482
34.7391806	135.2181605	長峰山	687
34.7221917	135.1824707	高雄山	476
34.7157398	135.1666634	鍋蓋山	486
34.7455630	135.2017117	新穂高	648
34.7399821	135.2766911	金鳥山	338
34.7453114	135.2675984	打越山	480
34.7458450	135.2715440	七兵衛山	462
34.7455771	135.2911337	鷹尾山	272
34.7543944	135.2820490	荒地山	549
34.7772993	135.2809585	林山	745
34.7859280	135.2912208	小天狗山	557
34.7887625	135.3131563	樫ヶ峰	457
34.7969511	135.3225311	行者山	415
34.8006422	135.3164448	譲葉山	
34.8017339	135.3220007	岩倉山	488.4
34.8072542	135.2969547	剣山	302
34.7894810	135.2538385	射場山	690
34.8268118	135.2653107	畑山	528.7
34.8272983	135.2536440	丸山	378
34.9660788	136.1173406	烏ヶ嶽	484
34.9665065	136.0609412	阿星山	693.0
34.9648025	136.0950145	白水鉱山	358
35.0187699	136.1039260	十二坊	405.0
35.0669921	136.0803267	鏡山	384.5
34.9397860	136.2164571	愛宕山	250.0
34.9338164	136.2390116	長坂山	261.9
34.8965743	135.8476310	喜撰山	415.9
34.8986755	135.8252724	明星山	233
34.9342154	135.8629314	笠取山	370
34.9469278	135.8386312	醍醐山	454
34.9250926	135.8295399	天下峰	348
34.9111607	135.8257793	五雲峰	343
34.8910690	135.8162133	朝日山	124
34.8923240	135.8142420	仏徳山	131.6
34.8843429	135.8133730	槇ノ尾山	106
34.8658648	135.8551921	荒木山	472
34.8726729	135.8565000	大峰山	506.3
34.9345004	135.8799110	岩間山	443
34.9603325	135.8370737	高塚山	485.0
35.0159290	135.8447365	長等山	354
35.0168756	135.8259540	如意ヶ岳	472
34.9931377	135.7885753	清水山	242.2
34.9868197	135.7890444	六条山	201
34.9642400	135.7777824	七面山	108
34.9518591	135.7940418	大岩山	182
35.0395478	135.8030093	瓜生山	301
35.0270614	135.7873124	吉田山	121
35.0336662	135.8466090	宇佐山	335
35.0556127	135.8516249	壺笠山	421
35.0840831	135.8512687	三石岳	675.6
35.0921913	135.8097740	瓢簞崩山	532.0
35.0911235	135.8351843	横高山	767
35.0958590	135.8375304	水井山	793.9
35.1255814	135.8492941	梶山	681
35.1456306	135.7981913	天ヶ岳	788
35.1364513	135.8177360	焼杉山	717.4
35.1225011	135.8113422	翠黛山	577
35.1175638	135.8070233	金毘羅山	572.5
35.0987220	135.7818426	箕ノ裏ヶ岳	432.3
35.0554173	135.7869829	東山	186
35.0563022	135.7708998	西山	135
35.0796654	135.7513028	神山	301.2
35.0954707	135.7574597	向山	426
35.1087059	135.7745347	竜王岳	500
35.1238650	135.7715628	鞍馬山	584
